frequency_hz	dgtd_rcs	model_rcs	abs_error	rel_error	valid
1.193700000e+08	4.696780000e+00	4.699664486e+00	2.884485513e-03	6.141410739e-04	1
1.207000000e+08	4.373140000e+00	4.416932840e+00	4.379284011e-02	1.001404943e-02	1
1.220300000e+08	4.017150000e+00	4.115437979e+00	9.828797947e-02	2.446709221e-02	1
1.233600000e+08	3.644330000e+00	3.801487730e+00	1.571577303e-01	4.312390213e-02	1
1.246900000e+08	3.271470000e+00	3.481638135e+00	2.101681348e-01	6.424272109e-02	1
1.260200000e+08	2.914910000e+00	3.162549979e+00	2.476399794e-01	8.495630377e-02	1
1.273500000e+08	2.588760000e+00	2.850834496e+00	2.620744957e-01	1.012355320e-01	1
1.286800000e+08	2.303340000e+00	2.552893635e+00	2.495536345e-01	1.083442455e-01	1
1.300100000e+08	2.064250000e+00	2.274761298e+00	2.105112983e-01	1.019795559e-01	1
1.313400000e+08	1.872050000e+00	2.021952381e+00	1.499023806e-01	8.007391929e-02	1
1.326700000e+08	1.722840000e+00	1.799326337e+00	7.648633691e-02	4.439549634e-02	1
1.340000000e+08	1.609610000e+00	1.610971289e+00	1.361289121e-03	8.457260582e-04	1
1.353300000e+08	1.523980000e+00	1.460113434e+00	6.386656555e-02	4.190774521e-02	1
1.366600000e+08	1.458310000e+00	1.349054919e+00	1.092550808e-01	7.491896837e-02	1
1.379900000e+08	1.407380000e+00	1.279141544e+00	1.282384563e-01	9.111857231e-02	1
1.393200000e+08	1.369690000e+00	1.250759880e+00	1.189301203e-01	8.682995442e-02	1
1.406500000e+08	1.347760000e+00	1.263361794e+00	8.439820607e-02	6.262109431e-02	1
1.419800000e+08	1.347600000e+00	1.315513115e+00	3.208688517e-02	2.381039267e-02	1
1.433100000e+08	1.377340000e+00	1.404962349e+00	2.762234907e-02	2.005485143e-02	1
1.446400000e+08	1.445350000e+00	1.528724962e+00	8.337496225e-02	5.768496368e-02	1
1.459700000e+08	1.558150000e+00	1.683178762e+00	1.250287622e-01	8.024180099e-02	1
1.473000000e+08	1.718660000e+00	1.864166282e+00	1.455062823e-01	8.466263383e-02	1
1.486300000e+08	1.925080000e+00	2.067100661e+00	1.420206606e-01	7.377390063e-02	1
1.499600000e+08	2.170590000e+00	2.287072239e+00	1.164822395e-01	5.366386073e-02	1
1.512900000e+08	2.443980000e+00	2.518953862e+00	7.497386195e-02	3.067695397e-02	1
1.526200000e+08	2.731010000e+00	2.757503540e+00	2.649353979e-02	9.701004314e-03	1
1.539500000e+08	3.016230000e+00	2.997463732e+00	1.876626777e-02	6.221762852e-03	1
1.552800000e+08	3.284990000e+00	3.233656879e+00	5.133312133e-02	1.562656852e-02	1
1.566100000e+08	3.525110000e+00	3.461077042e+00	6.403295778e-02	1.816481125e-02	1
1.579400000e+08	3.728130000e+00	3.674977554e+00	5.315244616e-02	1.425713325e-02	1
1.592700000e+08	3.889830000e+00	3.870954416e+00	1.887558427e-02	4.852547354e-03	1
1.606000000e+08	4.010090000e+00	4.045024964e+00	3.493496403e-02	8.711765579e-03	1
1.619300000e+08	4.092160000e+00	4.193700949e+00	1.015409491e-01	2.481353346e-02	1
1.632600000e+08	4.141590000e+00	4.314054820e+00	1.724648204e-01	4.164217617e-02	1
1.645900000e+08	4.164950000e+00	4.403777658e+00	2.388276585e-01	5.734226305e-02	1
1.659200000e+08	4.168600000e+00	4.461226932e+00	2.926269315e-01	7.019789175e-02	1
1.672500000e+08	4.157720000e+00	4.485462121e+00	3.277421211e-01	7.882736718e-02	1
1.685800000e+08	4.135650000e+00	4.476266295e+00	3.406162950e-01	8.236100613e-02	1
1.699100000e+08	4.103620000e+00	4.434151930e+00	3.305319295e-01	8.054642719e-02	1
1.712400000e+08	4.060740000e+00	4.360349697e+00	2.996096973e-01	7.378204399e-02	1
1.725700000e+08	4.004440000e+00	4.256779527e+00	2.523395274e-01	6.301493526e-02	1
1.739000000e+08	3.931040000e+00	4.126003964e+00	1.949639644e-01	4.959602660e-02	1
1.752300000e+08	3.836560000e+00	3.971164651e+00	1.346046506e-01	3.508472448e-02	1
1.765600000e+08	3.717530000e+00	3.795903557e+00	7.837355709e-02	2.108215861e-02	1
1.778900000e+08	3.571850000e+00	3.604271331e+00	3.242133087e-02	9.076901568e-03	1
1.792200000e+08	3.399430000e+00	3.400625727e+00	1.195726836e-03	3.517433324e-04	1
1.805500000e+08	3.202680000e+00	3.189523520e+00	1.315648012e-02	4.107959620e-03	1
1.818800000e+08	2.986570000e+00	2.975609495e+00	1.096050470e-02	3.669930623e-03	1
1.832100000e+08	2.758400000e+00	2.763506098e+00	5.106098086e-03	1.851108645e-03	1
1.845400000e+08	2.527170000e+00	2.557707093e+00	3.053709280e-02	1.208351350e-02	1
1.858700000e+08	2.302670000e+00	2.362478183e+00	5.980818267e-02	2.597340595e-02	1
1.872000000e+08	2.094460000e+00	2.181767009e+00	8.730700914e-02	4.168473456e-02	1
1.885300000e+08	1.910870000e+00	2.019124358e+00	1.082543579e-01	5.665186951e-02	1
1.898600000e+08	1.758180000e+00	1.877637791e+00	1.194577910e-01	6.794400515e-02	1
1.911900000e+08	1.640210000e+00	1.759878358e+00	1.196683580e-01	7.295916862e-02	1
1.925200000e+08	1.558220000e+00	1.667860549e+00	1.096405490e-01	7.036268882e-02	1
1.938500000e+08	1.511270000e+00	1.603015266e+00	9.174526552e-02	6.070739545e-02	1
1.951800000e+08	1.496770000e+00	1.566175310e+00	6.940530971e-02	4.637005666e-02	1
1.965100000e+08	1.511180000e+00	1.557572725e+00	4.639272493e-02	3.069966843e-02	1
1.978400000e+08	1.550650000e+00	1.576847248e+00	2.619724818e-02	1.689436571e-02	1
1.991700000e+08	1.611430000e+00	1.623065131e+00	1.163513137e-02	7.220376542e-03	1
2.005000000e+08	1.690130000e+00	1.694747630e+00	4.617630437e-03	2.732115540e-03	1
2.018300000e+08	1.783650000e+00	1.789908518e+00	6.258518046e-03	3.508826309e-03	1
2.031600000e+08	1.889080000e+00	1.906100022e+00	1.702002178e-02	9.009688197e-03	1
2.044900000e+08	2.003540000e+00	2.040466603e+00	3.692660311e-02	1.843067925e-02	1
2.058200000e+08	2.124130000e+00	2.189805957e+00	6.567595703e-02	3.091899132e-02	1
2.071500000e+08	2.248120000e+00	2.350636520e+00	1.025165199e-01	4.560099990e-02	1
2.084800000e+08	2.373210000e+00	2.519270624e+00	1.460606237e-01	6.154559592e-02	1
2.098100000e+08	2.497880000e+00	2.691892237e+00	1.940122369e-01	7.767075957e-02	1
2.111400000e+08	2.621670000e+00	2.864638002e+00	2.429680015e-01	9.267680582e-02	1
2.124700000e+08	2.745160000e+00	3.033680033e+00	2.885200331e-01	1.051013541e-01	1
2.138000000e+08	2.869730000e+00	3.195308726e+00	3.255787257e-01	1.134527380e-01	1
2.151300000e+08	2.996820000e+00	3.346013617e+00	3.491936174e-01	1.165213851e-01	1
2.164600000e+08	3.127160000e+00	3.482560257e+00	3.554002573e-01	1.136495278e-01	1
2.177900000e+08	3.259810000e+00	3.602060990e+00	3.422509902e-01	1.049910854e-01	1
2.191200000e+08	3.391500000e+00	3.702037649e+00	3.105376488e-01	9.156351137e-02	1
2.204500000e+08	3.516410000e+00	3.780474332e+00	2.640643324e-01	7.509486447e-02	1
2.217800000e+08	3.626530000e+00	3.835858737e+00	2.093287369e-01	5.772149600e-02	1
2.231100000e+08	3.712570000e+00	3.867210877e+00	1.546408772e-01	4.165332296e-02	1
2.244400000e+08	3.765380000e+00	3.874098482e+00	1.087184816e-01	2.887317658e-02	1
2.257700000e+08	3.777510000e+00	3.856638810e+00	7.912881049e-02	2.094734640e-02	1
2.271000000e+08	3.744660000e+00	3.815487127e+00	7.082712736e-02	1.891416774e-02	1
2.284300000e+08	3.666650000e+00	3.751812495e+00	8.516249527e-02	2.322624065e-02	1
2.297600000e+08	3.547730000e+00	3.667261961e+00	1.195319613e-01	3.369251925e-02	1
2.310900000e+08	3.396060000e+00	3.563914506e+00	1.678545058e-01	4.942624860e-02	1
2.324200000e+08	3.222640000e+00	3.444226357e+00	2.215863569e-01	6.875926472e-02	1
2.337500000e+08	3.039610000e+00	3.310969405e+00	2.713594053e-01	8.927441523e-02	1
2.350800000e+08	2.858550000e+00	3.167164501e+00	3.086145013e-01	1.079619042e-01	1
2.364100000e+08	2.688940000e+00	3.016011387e+00	3.270713870e-01	1.216358070e-01	1
2.377400000e+08	2.537090000e+00	2.860816931e+00	3.237269305e-01	1.275977322e-01	1
2.390700000e+08	2.405740000e+00	2.704923205e+00	2.991832046e-01	1.243622356e-01	1
2.404000000e+08	2.294340000e+00	2.551636801e+00	2.572968012e-01	1.121441466e-01	1
2.417300000e+08	2.199800000e+00	2.404160623e+00	2.043606234e-01	9.289963789e-02	1
2.430600000e+08	2.117740000e+00	2.265529253e+00	1.477892531e-01	6.978630666e-02	1
2.443900000e+08	2.043600000e+00	2.138548866e+00	9.494886569e-02	4.646157061e-02	1
2.457200000e+08	1.973840000e+00	2.025742561e+00	5.190256087e-02	2.629522194e-02	1
2.470500000e+08	1.906570000e+00	1.929301893e+00	2.273189316e-02	1.192292607e-02	1
2.483800000e+08	1.841940000e+00	1.851045322e+00	9.105322139e-03	4.943332649e-03	1
2.497100000e+08	1.781980000e+00	1.792384241e+00	1.040424128e-02	5.838584763e-03	1
2.510400000e+08	1.730210000e+00	1.754297186e+00	2.408718562e-02	1.392153879e-02	1
2.523700000e+08	1.690900000e+00	1.737312746e+00	4.641274587e-02	2.744854567e-02	1
2.537000000e+08	1.668370000e+00	1.741501622e+00	7.313162223e-02	4.383417481e-02	1
2.550300000e+08	1.666160000e+00	1.766478128e+00	1.003181278e-01	6.020918029e-02	1
2.563600000e+08	1.686490000e+00	1.811411293e+00	1.249212931e-01	7.407176626e-02	1
2.576900000e+08	1.729840000e+00	1.875045530e+00	1.452055299e-01	8.394159570e-02	1
2.590200000e+08	1.794810000e+00	1.955730590e+00	1.609205901e-01	8.965884415e-02	1
2.603500000e+08	1.878310000e+00	2.051460306e+00	1.731503056e-01	9.218409398e-02	1
2.616800000e+08	1.975960000e+00	2.159919340e+00	1.839593396e-01	9.309871639e-02	1
2.630100000e+08	2.082800000e+00	2.278536923e+00	1.957369229e-01	9.397778131e-02	1
2.643400000e+08	2.194070000e+00	2.404546313e+00	2.104763125e-01	9.592962508e-02	1
2.656700000e+08	2.306000000e+00	2.535048512e+00	2.290485117e-01	9.932719500e-02	1
2.670000000e+08	2.416370000e+00	2.667078636e+00	2.507086365e-01	1.037542415e-01	1
