core_eps_r	1.0	core_mu_r	1	core_sigma	0.00e+00	shell_eps_r	4.0	shell_mu_r	1.0	shell_sigma	0.00e+00	core_radius	1.5	shell_width	0.0003	radius	1.5003
frequency(Hz)	RCS(m^2)
1.688000000e+10	2.168060048e+00
1.692000000e+10	3.671023435e+00
1.696000000e+10	4.163566269e+00
1.700000000e+10	1.674107898e+00
1.704000000e+10	1.177294076e+00
1.708000000e+10	6.593492141e+00
1.712000000e+10	8.734640085e+00
1.716000000e+10	7.898286285e+00
1.720000000e+10	7.996433825e-01
1.724000000e+10	4.544089129e+00
1.728000000e+10	1.361185821e+01
1.732000000e+10	1.533126416e+01
1.736000000e+10	6.345148496e+00
1.740000000e+10	1.050358773e+00
1.744000000e+10	1.052032587e+01
1.748000000e+10	2.132160192e+01
1.752000000e+10	1.721728548e+01
1.756000000e+10	3.562041480e+00
1.760000000e+10	3.337633090e+00
1.764000000e+10	1.682205497e+01
1.768000000e+10	2.759580450e+01
1.772000000e+10	1.288316116e+01
1.776000000e+10	1.988604678e+00
1.780000000e+10	6.883337057e+00
1.784000000e+10	2.430110319e+01
1.788000000e+10	2.584159776e+01
1.792000000e+10	7.697533252e+00
1.796000000e+10	1.788120653e+00
1.800000000e+10	1.169606430e+01
