eps_r	100000000.0	mu_r	1.0	sigma	0.00e+00	radius	1.0
frequency(Hz)	RCS(m^2)
3.298000000e+08	3.332544021e+00
3.311000000e+08	3.430540323e+00
3.324000000e+08	3.533041439e+00
3.337000000e+08	3.622240850e+00
3.350000000e+08	3.688153890e+00
3.363000000e+08	3.724290841e+00
3.376000000e+08	3.816639796e+00
3.389000000e+08	3.829985888e+00
3.402000000e+08	3.876907722e+00
3.415000000e+08	3.908028315e+00
3.428000000e+08	3.901373200e+00
3.441000000e+08	3.874467864e+00
3.454000000e+08	3.844704695e+00
3.467000000e+08	3.819437942e+00
3.480000000e+08	3.774088723e+00
3.493000000e+08	3.690855018e+00
3.506000000e+08	3.559055015e+00
3.519000000e+08	3.548245700e+00
3.532000000e+08	3.426526319e+00
3.545000000e+08	3.357296424e+00
3.558000000e+08	3.281396592e+00
3.571000000e+08	3.181734497e+00
3.584000000e+08	3.072125835e+00
3.597000000e+08	2.980610628e+00
3.610000000e+08	2.910657774e+00
3.623000000e+08	2.843240234e+00
3.636000000e+08	2.748341513e+00
3.649000000e+08	2.590170690e+00
3.662000000e+08	2.646996646e+00
3.675000000e+08	2.578393565e+00
3.688000000e+08	2.569316552e+00
3.701000000e+08	2.568930596e+00
3.714000000e+08	2.564542069e+00
3.727000000e+08	2.562158567e+00
3.740000000e+08	2.584447761e+00
3.753000000e+08	2.631253982e+00
3.766000000e+08	2.686822580e+00
3.779000000e+08	2.724380117e+00
3.792000000e+08	2.356742615e+00
3.805000000e+08	2.867697354e+00
3.818000000e+08	2.931261466e+00
3.831000000e+08	3.020460187e+00
3.844000000e+08	3.112708474e+00
3.857000000e+08	3.195617617e+00
3.870000000e+08	3.274515672e+00
3.883000000e+08	3.354451959e+00
3.896000000e+08	3.437265844e+00
3.909000000e+08	3.509893163e+00
3.922000000e+08	3.570512379e+00
3.935000000e+08	3.660260285e+00
3.948000000e+08	3.674033168e+00
3.961000000e+08	3.711686569e+00
3.974000000e+08	3.735485609e+00
3.987000000e+08	3.749073371e+00
4.000000000e+08	3.750128759e+00
